NAME,TAG,SHA-1
Openwrt,12.09-rc1,7dc062430c49a62970dc7e7c2b3f15140b5dc4ba

Kernel,,c9a09535dde44134c11fff03af16540fc707416a

Platform,V211AAOX0C0,b39fca5c340311fff2b3f305746a6091182271c2

dni-cal,1.0-003,43c1f2528cef13ada8417e43a60f082ce3bf3afe
dni-chkpwd,1.0-003,7f480eb7aaa17f85fbec96b6aec423a745af9da9
dni-cli,1.0-009,e78128a73bc10269d939d3fa8f2beb74880277eb
dni-config,2.0-005,780ceab2c5409da4d36442121823d8736515685e
dni-mtd,1.0-004,536214e3594aa23d48a4eb644dd45add474792fd
dni-ntpclient,1.0-009,05a5e3bd2a047fbc09f045595d679d20c01c1d5e
dni-smtpclient,1.0-004,ef962c81bdc94be92fced1ad516f0a0aaa1e2cd6
dni-transwd,1.0-003,537c4b64a4e2f7bfd02c061ac3341f052975978a
dni-watchdogd,1.0-003,f88e9edd387b6f26aa1ebadacdbb3f830558a676
dni-wide-dhcpv6,1.0-005,936f2dfaea2ad8f4d0ce1155c8fba75f4d0284b1
dni-zdp,1.0-005,884c75188274102250b79a16612d58d451920fb5
qca-art,9.2.0_U11.14-002,b87197736a7e80e224e980f9fd73855a7d3612b3
qca-artlna,1.0-003,03ccb39280d48e213c34f1b82a38f49b8ee003d6
qca-enet,007,d7d931546cfd8c5572a35121c246919822d47e8b
qca-hostap,010,b91c00fd5b24cbca3aac533c10bf9d6cdfacc4e9
qca-wifi,022,857dc32baf9dc3af6b2a2675e068bfc9e2a6e69e
u-boot-ar934x,003,8938d7098a7a6fba12b4d1e995bb487e66d6876f
ocf-crypto-headers,20110720-001,a1e04c8696f83a8f90f8e27432f5bbd18018018c
openssl,1.0.2h-001,34cb898193b7117fde29f103c39b242b073db5c0
ssmtp,2.64-005,5c8b806a8060fb026196453ca10c640dd4b7f7a7
lldpd,0.7.7-002,42a76470ea293a29d4de1d6c3fc16b770ea9ac41
mini_httpd,1.19-005,986fc5a366c992d34c61b0728b698dafba51bb9d
vsftpd,2.3.4-001,59605962d8ad7a7524fcf4f01a1a5b8ad3b284ce
ebtables,2.0.10-4-001,9f75fca537fc039b54497dc826e037d6181e39f2
iptables,007,c62dadaaaa2ac445eda65ebfe546910a161efe9a
wireless-tools,29-005,f80fbef10c15f900644901aa49cc64eeea4c16bd
sysstat,6.0.1-004,3ac465cb717d62a6dd7b9456526d56e1d59856f5
busybox,012,d76afe4275ae1c37408b514e85a9c70d81911324
net-snmp,5.7.1-014,0aba48691401859acf0edd962e5ee6aab198d201
